type_id,typenames
1,动漫杂谈
2,动画综合
3,MMD·3D
4,番剧资讯
5,科学科普
6,社科·法律·心理
7,人文历史
8,搞笑
9,校园学习
10,日常
11,综艺
12,娱乐杂谈
13,国产原创相关
14,影视剪辑
15,财经商业
16,科工机械
17,影视杂谈
18,亲子
19,电子竞技
20,明星综合
21,环球
22,娱乐资讯
23,预告·资讯
24,社会
25,美食记录
26,美食侦探
27,美食制作
28,美食测评
29,出行
30,舌尖上的旅行
31,单机游戏
32,手机游戏
33,计算机技术
34,软件应用
35,数码
36,极客DIY
37,热点
38,健身
39,家居房产
40,三农
41,汽车生活
42,AI影像
43,影视综合
44,小剧场
45,华语电影
46,短片
47,同人·手书
48,影视整活
49,电台
50,音乐综合
51,MV
52,乐评盘点
53,演奏
54,舞蹈教程
55,街舞
56,明星舞蹈
57,宅舞
58,舞蹈综合
59,国风舞蹈
60,颜值·网红舞
61,娱乐粉丝创作
62,国产动画
63,完结动画
64,绘画
65,其他
66,GMV
67,野生技能协会
68,鬼畜剧场
69,鬼畜调教
70,人力VOCALOID
71,音MAD
72,配音
73,时尚潮流
74,穿搭
75,美妆护肤
76,MAD·AMV
77,喵星人
78,职业职场
79,翻唱
80,国产剧
81,颜值安利
82,运动综合
83,竞技体育
84,足球
85,篮球
86,CP安利
87,运动文化
88,汪星人
89,科学探索
90,设计·创意
91,动物综合
92,动物二创
